Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
281,-3.796875,-4.10203125,-4.625,2.28125,2.18421875,2.078125
282,-4.25,-4.5971875,-4.953125,2.390625,2.251796875,2.15625
283,-3.375,-3.69953125,-4.171875,2.3125,2.20078125,2.09375
284,-3.96875,-4.288203125,-4.890625,2.359375,2.24171875,2.125
285,-3.390625,-3.715703125,-4.296875,2.359375,2.224765625,2.109375
286,-4.15625,-4.620859375,-5.046875,2.328125,2.193984375,2.109375
287,-3.796875,-4.107421875,-4.546875,2.3125,2.238828125,2.15625
288,-3.6875,-3.99578125,-4.34375,2.3125,2.218046875,2.09375
289,-3.921875,-4.39984375,-4.875,2.3125,2.21921875,2.109375
290,-3.578125,-3.84859375,-4.5625,2.34375,2.192421875,2.09375
291,-4.234375,-4.509921875,-4.859375,2.296875,2.216796875,2.140625
292,-4.78125,-5.055234375,-5.40625,2.296875,2.186171875,2.09375
