Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
1,-8.875,-10.4840625,-11.796875,5.515625,4.218125,2.53125
2,-8.28125,-10.56390625,-11.921875,5.734375,4.246640625,2.8125
3,-8.21875,-10.2265625,-11.40625,5.453125,4.178125,2.90625
4,-8.3125,-10.037421875,-11.5625,5.671875,4.101328125,2.921875
5,-8.859375,-10.75859375,-12.484375,5.484375,4.097890625,2.640625
6,-7.859375,-10.024140625,-11.5625,5.78125,4.0403125,2.984375
7,-8.921875,-10.606953125,-12.234375,5.359375,4.043515625,3.0
8,-8.59375,-10.343203125,-12.015625,5.625,4.040859375,3.046875
9,-8.171875,-9.958359375,-11.578125,5.59375,4.048046875,2.875
10,-7.09375,-10.20875,-11.609375,5.578125,4.00109375,2.921875
11,-8.671875,-10.37765625,-12.09375,5.359375,3.979375,2.828125
12,-8.125,-10.13703125,-11.859375,5.640625,4.053046875,2.859375
13,-8.5,-10.52421875,-11.96875,5.484375,3.950078125,2.546875
14,-7.796875,-10.11609375,-11.890625,5.390625,3.963046875,2.5625
15,-8.265625,-10.03828125,-11.953125,5.34375,3.949453125,2.734375
16,-7.984375,-9.899375,-11.640625,5.453125,3.95109375,2.78125
17,-7.984375,-10.105859375,-11.84375,5.125,3.79921875,2.671875
18,-7.84375,-9.98671875,-11.859375,5.390625,3.92609375,2.59375
19,-8.3125,-10.0434375,-11.6875,5.28125,3.831484375,2.640625
20,-8.296875,-10.3659375,-11.84375,5.796875,3.98234375,2.71875
21,-7.96875,-10.057734375,-12.015625,5.5625,3.8953125,2.734375
22,-8.796875,-10.369296875,-11.859375,5.125,3.876953125,2.59375
23,-8.03125,-9.626171875,-11.28125,5.421875,3.84984375,2.609375
24,-7.890625,-9.73640625,-11.46875,5.53125,3.905078125,2.671875
25,-8.3125,-10.010859375,-11.6875,5.28125,3.919296875,2.53125
26,-7.5,-10.0784375,-11.84375,6.015625,3.960703125,2.546875
27,-8.265625,-9.7271875,-11.265625,6.359375,3.93625,2.46875
28,-7.71875,-9.899921875,-11.515625,5.625,3.9203125,2.578125
29,-7.296875,-9.284296875,-11.296875,5.296875,3.815234375,2.515625
30,-7.734375,-9.570859375,-11.203125,5.140625,3.81375,2.375
31,-7.859375,-9.61203125,-11.078125,5.125,3.8115625,2.6875
32,-7.8125,-9.55859375,-11.265625,5.21875,3.84046875,2.71875
33,-7.765625,-9.38921875,-11.390625,5.125,3.750859375,2.703125
34,-7.453125,-9.256875,-11.15625,4.84375,3.753984375,2.65625
35,-7.109375,-9.50703125,-10.828125,5.0,3.790078125,2.453125
36,-6.6875,-8.93171875,-10.84375,5.140625,3.7290625,2.546875
37,-7.5,-9.34734375,-11.171875,5.359375,3.6821875,2.578125
38,-7.765625,-9.39296875,-11.453125,5.75,3.824375,2.796875
39,-7.71875,-9.457109375,-11.875,5.234375,3.740625,2.640625
40,-6.875,-8.697734375,-11.109375,4.953125,3.662578125,2.59375
41,-7.421875,-9.22390625,-11.203125,5.0625,3.6275,2.484375
42,-7.671875,-9.19359375,-10.859375,5.03125,3.66453125,2.453125
43,-6.921875,-8.74953125,-10.75,5.359375,3.71,2.234375
44,-7.125,-8.940625,-11.015625,5.171875,3.52125,2.265625
45,-6.765625,-8.694609375,-10.640625,4.953125,3.40359375,2.34375
46,-6.8125,-8.329765625,-9.984375,4.765625,3.32203125,2.265625
47,-7.140625,-8.859140625,-10.84375,4.6875,3.241171875,2.25
48,-6.546875,-8.537890625,-10.171875,4.515625,3.198125,2.296875
49,-6.796875,-8.17328125,-9.90625,5.171875,3.308984375,2.34375
50,-6.4375,-8.256875,-10.65625,4.96875,3.274140625,2.4375
51,-6.53125,-8.298828125,-10.015625,4.46875,3.2390625,2.421875
52,-7.171875,-8.467578125,-10.3125,4.453125,3.221796875,2.359375
53,-6.703125,-8.210859375,-9.921875,4.59375,3.216640625,2.34375
54,-6.59375,-8.457578125,-10.1875,4.84375,3.3228125,2.453125
55,-6.484375,-8.161015625,-10.21875,5.078125,3.329375,2.515625
56,-6.84375,-8.374921875,-10.34375,4.34375,3.14796875,2.40625
57,-6.125,-7.9903125,-11.078125,5.078125,3.204375,2.359375
58,-6.8125,-8.241484375,-10.140625,4.640625,3.30609375,2.4375
59,-6.75,-8.13859375,-10.125,5.265625,3.225546875,2.375
60,-6.03125,-7.5184375,-9.296875,4.453125,3.24546875,2.453125
61,-6.28125,-7.676015625,-9.46875,4.984375,3.2584375,2.328125
62,-6.75,-8.174375,-10.09375,4.421875,3.162265625,2.4375
63,-6.75,-7.9434375,-10.03125,4.359375,3.120859375,2.28125
64,-5.703125,-7.37296875,-8.921875,4.328125,3.140703125,2.40625
65,-6.015625,-7.641796875,-10.5,4.46875,3.191328125,2.390625
66,-5.4375,-7.00125,-8.6875,4.453125,3.18796875,2.375
67,-5.8125,-7.39078125,-9.09375,4.328125,3.182265625,2.359375
68,-6.171875,-7.663671875,-9.5,4.1875,3.049140625,2.3125
69,-5.765625,-7.46609375,-9.53125,4.453125,3.2053125,2.390625
70,-5.984375,-7.314453125,-9.125,4.390625,3.146484375,2.40625
71,-5.90625,-7.180859375,-9.046875,4.4375,3.06703125,2.1875
72,-5.71875,-6.9134375,-8.25,4.5625,3.127109375,2.46875
73,-5.453125,-6.933203125,-9.5625,4.421875,2.961484375,2.1875
74,-5.078125,-6.335859375,-7.75,4.28125,2.967265625,2.25
75,-5.796875,-7.073203125,-8.453125,4.125,2.974765625,2.28125
76,-5.828125,-6.830390625,-8.296875,4.125,3.017265625,2.140625
77,-4.546875,-6.08640625,-7.953125,3.921875,2.99375,2.171875
78,-5.453125,-7.0253125,-8.65625,4.0625,3.01203125,2.3125
79,-5.21875,-6.302734375,-7.921875,3.75,2.930390625,2.265625
80,-5.828125,-7.043671875,-8.234375,4.046875,2.965234375,2.421875
81,-5.34375,-6.5878125,-8.390625,3.8125,2.870625,2.25
82,-6.015625,-7.29921875,-8.59375,3.46875,2.752734375,2.15625
83,-5.828125,-6.795546875,-9.40625,3.953125,2.90921875,2.28125
84,-6.21875,-6.99296875,-8.515625,3.65625,2.813046875,2.296875
85,-5.328125,-6.305390625,-7.84375,3.953125,2.882890625,2.25
86,-5.859375,-6.82515625,-8.390625,3.65625,2.774609375,2.25
87,-4.234375,-5.5165625,-6.828125,3.421875,2.7459375,2.1875
88,-5.34375,-6.3671875,-8.171875,4.015625,2.81265625,2.265625
89,-5.328125,-6.188671875,-7.375,3.921875,2.801875,2.296875
90,-4.8125,-5.96546875,-7.328125,3.59375,2.809453125,2.296875
91,-6.0,-6.75078125,-7.671875,3.390625,2.72125,2.265625
92,-5.28125,-6.15875,-7.265625,3.65625,2.73421875,2.25
93,-5.953125,-6.81953125,-8.046875,3.28125,2.62,2.15625
94,-5.625,-6.645625,-8.25,3.828125,2.6940625,2.203125
95,-5.125,-6.0440625,-7.203125,3.953125,2.681875,2.171875
96,-5.28125,-6.33234375,-7.578125,3.28125,2.64578125,2.15625
97,-4.921875,-5.949453125,-7.03125,3.59375,2.79671875,2.21875
98,-6.1875,-7.05609375,-8.34375,3.546875,2.706875,2.140625
99,-5.34375,-6.348828125,-7.671875,3.734375,2.707421875,2.1875
100,-5.421875,-6.371328125,-7.578125,3.40625,2.650703125,2.15625
101,-5.578125,-6.240234375,-7.375,3.765625,2.644453125,2.203125
102,-5.265625,-6.34328125,-7.34375,3.265625,2.64515625,2.203125
103,-4.890625,-5.904453125,-7.203125,3.578125,2.623984375,2.234375
104,-5.15625,-6.025703125,-7.140625,3.234375,2.52515625,2.109375
105,-5.390625,-6.15984375,-7.25,3.21875,2.611875,2.234375
106,-5.71875,-6.43578125,-7.4375,3.546875,2.62125,2.203125
107,-5.21875,-6.04890625,-7.140625,3.25,2.59953125,2.15625
108,-5.734375,-6.47,-7.4375,3.609375,2.6725,2.28125
109,-5.15625,-5.964609375,-7.171875,3.296875,2.565078125,2.171875
110,-4.96875,-5.93,-7.109375,3.5625,2.6825,2.21875
111,-5.8125,-6.69078125,-8.03125,3.609375,2.727265625,2.25
112,-5.65625,-6.42453125,-7.15625,3.609375,2.788671875,2.296875
113,-5.375,-6.057265625,-7.234375,3.453125,2.637265625,2.203125
114,-4.765625,-5.5734375,-7.015625,3.328125,2.681171875,2.25
115,-4.703125,-5.497265625,-6.4375,3.484375,2.679765625,2.25
116,-5.609375,-6.37375,-7.046875,3.25,2.658515625,2.1875
117,-5.125,-5.90765625,-7.265625,3.3125,2.67875,2.203125
118,-4.09375,-4.77734375,-6.265625,3.03125,2.5640625,2.1875
119,-4.515625,-5.302734375,-6.390625,3.4375,2.616640625,2.1875
120,-4.5,-5.10859375,-6.125,3.265625,2.63125,2.171875
121,-5.796875,-6.579296875,-7.515625,3.671875,2.668125,2.203125
122,-5.609375,-6.311015625,-7.328125,3.140625,2.559140625,2.109375
123,-5.046875,-5.9896875,-7.0625,3.15625,2.604296875,2.109375
124,-5.703125,-6.43578125,-7.34375,3.390625,2.68625,2.140625
125,-4.984375,-5.984921875,-6.75,3.265625,2.647578125,2.21875
126,-4.546875,-5.293515625,-6.28125,3.265625,2.62265625,2.203125
127,-4.59375,-5.532890625,-6.890625,3.46875,2.56046875,2.15625
128,-4.6875,-5.473671875,-6.484375,2.9375,2.49625,2.125
129,-5.0625,-5.795859375,-6.828125,3.109375,2.550546875,2.234375
130,-5.1875,-5.707890625,-6.640625,3.1875,2.4415625,2.125
131,-4.5,-5.423828125,-6.234375,3.296875,2.559765625,2.234375
132,-5.03125,-5.82953125,-6.953125,3.375,2.547578125,2.1875
133,-5.1875,-5.862265625,-6.953125,2.96875,2.48078125,2.1875
134,-5.015625,-5.86609375,-6.703125,2.953125,2.494609375,2.171875
135,-4.9375,-5.50875,-6.796875,3.15625,2.528671875,2.140625
136,-4.84375,-5.454453125,-6.21875,3.0625,2.565,2.1875
137,-4.90625,-5.5728125,-6.203125,3.15625,2.61640625,2.234375
138,-4.96875,-5.63984375,-6.796875,3.1875,2.594375,2.140625
139,-5.234375,-5.865546875,-7.03125,3.125,2.605859375,2.171875
140,-4.875,-5.336875,-6.453125,2.984375,2.444375,2.109375
141,-5.09375,-5.75390625,-6.625,3.171875,2.552890625,2.21875
142,-5.1875,-5.693828125,-6.46875,3.203125,2.5984375,2.203125
143,-4.625,-5.229609375,-6.296875,3.265625,2.50828125,2.140625
144,-5.15625,-6.033671875,-6.9375,3.34375,2.635234375,2.234375
145,-5.765625,-6.41578125,-7.21875,3.125,2.486328125,2.15625
146,-5.625,-6.2846875,-7.125,3.1875,2.547578125,2.203125
147,-5.171875,-5.909140625,-6.953125,3.15625,2.55,2.140625
148,-4.640625,-5.348671875,-6.28125,3.1875,2.513671875,2.140625
149,-5.359375,-6.21140625,-7.140625,3.078125,2.587578125,2.15625
150,-5.140625,-5.91640625,-6.921875,3.0625,2.517890625,2.203125
151,-5.234375,-5.901484375,-6.75,3.296875,2.625390625,2.25
152,-4.5,-5.497421875,-6.25,3.328125,2.606015625,2.234375
153,-4.609375,-5.334609375,-6.234375,3.234375,2.682890625,2.234375
154,-4.953125,-5.792265625,-6.5625,3.203125,2.7178125,2.28125
155,-5.1875,-5.644609375,-6.6875,3.0625,2.5696875,2.171875
156,-4.5,-5.251484375,-6.3125,3.328125,2.621015625,2.1875
