Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
1,-8.84375,-10.877239583333333,-12.03125,5.53125,4.29484375,3.28125
2,-8.78125,-10.62765625,-11.765625,5.34375,4.300885416666667,3.40625
3,-8.46875,-10.436927083333334,-11.53125,5.4375,4.300572916666667,2.953125
4,-8.46875,-10.717447916666666,-11.921875,5.5,4.321354166666667,3.390625
5,-9.421875,-10.644322916666667,-11.90625,5.609375,4.278385416666667,3.171875
6,-9.359375,-10.84296875,-11.953125,5.421875,4.2459375,2.890625
7,-8.46875,-10.536354166666667,-11.9375,5.390625,4.233385416666667,2.96875
8,-8.15625,-10.348697916666667,-11.859375,5.171875,4.168125,2.890625
9,-8.140625,-10.389322916666666,-11.8125,5.453125,4.16328125,2.90625
10,-8.484375,-10.421770833333333,-11.734375,5.40625,4.223802083333333,2.78125
11,-8.546875,-10.51859375,-11.875,5.546875,4.18859375,2.875
12,-8.21875,-10.284322916666667,-11.671875,5.28125,4.164583333333334,3.109375
13,-8.828125,-10.798385416666667,-12.078125,5.734375,4.264114583333333,3.015625
14,-8.921875,-10.526770833333334,-11.78125,5.390625,4.310572916666667,3.34375
15,-8.65625,-10.946145833333333,-12.171875,5.578125,4.3077604166666665,3.34375
16,-8.25,-10.51296875,-11.6875,5.71875,4.3211458333333335,3.265625
17,-8.34375,-10.69,-11.921875,5.5,4.345833333333333,3.28125
18,-8.59375,-10.663802083333334,-12.0,5.609375,4.3434375,3.28125
19,-8.546875,-10.809322916666666,-12.125,5.515625,4.350260416666667,3.359375
20,-8.171875,-10.63515625,-12.078125,5.484375,4.315833333333333,3.3125
21,-8.796875,-10.786302083333334,-12.28125,5.53125,4.341770833333333,3.15625
22,-9.046875,-10.697864583333333,-12.0625,5.328125,4.40234375,3.03125
23,-8.625,-10.543489583333333,-11.90625,5.359375,4.313125,3.03125
24,-8.296875,-10.3175,-11.5,5.828125,4.30421875,3.234375
25,-9.65625,-11.039635416666666,-12.234375,5.34375,4.268125,3.234375
26,-8.71875,-10.48234375,-11.953125,5.734375,4.3021875,3.328125
27,-8.5,-10.394479166666667,-11.625,5.90625,4.30546875,3.234375
28,-8.625,-11.073229166666666,-12.40625,5.65625,4.362552083333333,2.84375
29,-8.421875,-10.27265625,-11.71875,5.421875,4.295833333333333,2.9375
30,-7.859375,-9.720208333333334,-10.953125,5.46875,4.26375,3.03125
31,-8.1875,-10.428958333333334,-11.6875,5.53125,4.33296875,2.96875
32,-9.046875,-10.640833333333333,-11.8125,5.484375,4.337395833333333,3.234375
33,-8.3125,-10.0278125,-11.515625,5.484375,4.3109375,3.234375
34,-8.015625,-10.019270833333334,-11.296875,5.421875,4.291458333333333,3.140625
35,-8.546875,-10.221666666666666,-11.703125,5.5625,4.357864583333333,3.25
36,-8.390625,-10.506770833333333,-11.875,5.625,4.319270833333333,3.140625
37,-8.0625,-9.78484375,-11.4375,5.59375,4.359739583333333,3.0
38,-8.703125,-10.544895833333333,-11.9375,5.8125,4.33515625,2.9375
39,-8.296875,-10.000052083333333,-11.265625,5.609375,4.31171875,2.96875
40,-8.421875,-10.345989583333333,-11.9375,5.578125,4.3289583333333335,3.109375
41,-7.9375,-10.198854166666667,-11.453125,5.390625,4.36859375,3.125
42,-8.8125,-10.650572916666667,-11.921875,5.46875,4.348958333333333,3.359375
43,-8.53125,-10.50703125,-11.953125,5.703125,4.338489583333334,3.359375
44,-8.203125,-10.249010416666666,-11.71875,5.53125,4.337604166666667,3.34375
45,-8.0625,-10.160416666666666,-11.6875,5.703125,4.329427083333333,2.953125
46,-8.46875,-10.180625,-11.71875,5.359375,4.259739583333333,2.875
47,-8.625,-10.340885416666667,-11.703125,5.84375,4.255572916666667,3.0
48,-8.5,-10.42765625,-12.046875,5.4375,4.24390625,2.90625
49,-8.359375,-10.318333333333333,-11.875,5.484375,4.207395833333333,2.9375
50,-8.375,-10.14671875,-11.609375,5.734375,4.19375,2.8125
51,-8.90625,-10.610104166666666,-12.328125,5.171875,4.06875,2.671875
52,-7.984375,-10.15796875,-11.734375,5.40625,4.140520833333333,2.953125
53,-7.625,-9.623854166666666,-11.359375,5.90625,4.1803125,2.765625
54,-7.875,-9.763854166666667,-11.203125,5.453125,4.145104166666667,2.859375
55,-7.234375,-9.398645833333333,-11.328125,5.578125,4.1275,2.625
56,-7.3125,-9.870729166666667,-11.40625,5.453125,4.086458333333334,2.75
57,-7.671875,-9.839479166666667,-11.5625,5.53125,3.9733854166666664,2.625
58,-8.21875,-9.9078125,-11.640625,5.390625,4.05734375,2.859375
59,-7.921875,-9.765416666666667,-11.640625,5.25,4.0071875,2.609375
60,-7.984375,-9.59421875,-11.28125,5.3125,3.91734375,2.890625
61,-7.65625,-9.544895833333333,-11.296875,5.34375,4.008177083333333,2.890625
62,-7.8125,-9.286822916666667,-10.75,5.171875,4.03453125,2.890625
