Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
0,-8.78125,-10.398984375,-11.625,5.3125,4.10578125,2.84375
1,-8.9375,-10.670546875,-12.140625,5.515625,4.022890625,2.796875
2,-8.53125,-10.448671875,-12.265625,5.25,3.933671875,2.421875
3,-8.46875,-10.4759375,-12.1875,5.34375,3.809140625,2.59375
4,-7.9375,-9.6396875,-11.171875,5.078125,3.784140625,2.703125
5,-7.9375,-9.779765625,-11.921875,5.09375,3.67796875,2.65625
6,-7.96875,-9.5146875,-11.140625,4.71875,3.65875,2.59375
7,-7.5625,-9.389921875,-11.65625,5.328125,3.496484375,2.390625
8,-7.203125,-9.30296875,-11.0,5.15625,3.4796875,2.515625
9,-7.609375,-9.297578125,-11.171875,5.1875,3.44578125,2.328125
10,-7.859375,-9.26625,-11.359375,5.140625,3.44671875,2.421875
11,-7.53125,-9.2515625,-10.703125,4.59375,3.435,2.53125
12,-7.75,-9.198828125,-11.140625,5.171875,3.471484375,2.59375
13,-7.4375,-9.163671875,-11.78125,4.875,3.39703125,2.609375
14,-7.5,-8.9859375,-10.796875,4.625,3.275703125,2.390625
15,-7.4375,-8.826875,-10.734375,4.21875,3.2725,2.5
16,-7.328125,-8.95109375,-10.75,4.34375,3.3034375,2.640625
17,-7.359375,-8.95859375,-10.53125,4.3125,3.229375,2.4375
18,-6.765625,-8.46984375,-10.796875,4.1875,3.026015625,2.453125
19,-7.125,-8.79171875,-10.515625,3.8125,2.9590625,2.203125
20,-7.140625,-8.526640625,-10.59375,4.1875,3.078203125,2.453125
21,-6.171875,-7.769453125,-9.546875,3.984375,3.050859375,2.46875
22,-6.59375,-8.08109375,-9.796875,3.984375,3.095234375,2.328125
23,-6.734375,-8.182890625,-9.921875,4.65625,3.12078125,2.21875
24,-6.78125,-8.11921875,-9.890625,4.234375,3.0640625,2.359375
25,-6.109375,-7.73578125,-9.546875,4.125,3.081796875,2.484375
26,-6.5625,-8.332109375,-10.8125,4.09375,2.89921875,2.40625
27,-6.21875,-7.57546875,-9.453125,4.21875,2.925546875,2.265625
28,-6.46875,-7.636484375,-9.34375,4.15625,2.8071875,2.3125
29,-6.203125,-7.487890625,-9.34375,3.625,2.79703125,2.296875
30,-6.796875,-7.758359375,-9.359375,4.078125,2.8146875,2.375
31,-6.109375,-7.612109375,-9.34375,4.171875,2.814453125,2.296875
32,-5.9375,-7.491328125,-9.71875,3.75,2.6659375,2.25
33,-6.4375,-7.860390625,-9.875,3.328125,2.70078125,2.265625
34,-6.4375,-8.001796875,-10.171875,3.578125,2.778984375,2.28125
35,-6.15625,-7.97265625,-10.0,3.859375,2.7521875,2.296875
36,-5.90625,-7.114609375,-8.84375,3.296875,2.71890625,2.234375
37,-6.546875,-7.902421875,-9.15625,3.6875,2.75484375,2.296875
38,-5.53125,-7.1059375,-8.6875,3.578125,2.765546875,2.28125
39,-6.0625,-7.35265625,-8.78125,3.21875,2.702734375,2.1875
40,-5.953125,-7.689296875,-9.28125,3.5,2.718515625,2.265625
41,-6.46875,-7.63,-9.25,3.421875,2.687734375,2.265625
42,-6.140625,-7.450390625,-9.140625,3.46875,2.685625,2.171875
43,-5.765625,-7.249453125,-10.140625,3.578125,2.75078125,2.28125
44,-6.0625,-7.24734375,-8.90625,3.484375,2.6909375,2.1875
45,-5.71875,-7.0475,-10.0,3.828125,2.565,2.109375
46,-5.453125,-6.738203125,-8.53125,3.015625,2.554609375,2.171875
47,-5.59375,-6.847109375,-8.609375,3.21875,2.60703125,2.171875
48,-5.125,-6.79390625,-8.359375,3.3125,2.54515625,2.203125
49,-5.40625,-6.7609375,-8.59375,3.03125,2.423828125,2.109375
50,-5.453125,-6.875078125,-8.3125,3.078125,2.387265625,2.078125
51,-5.0625,-6.60546875,-8.0,3.21875,2.531328125,2.1875
52,-5.515625,-6.706953125,-8.203125,3.046875,2.413203125,2.125
53,-4.671875,-5.772578125,-7.171875,2.9375,2.395859375,2.125
54,-4.96875,-6.428046875,-8.0625,3.359375,2.439921875,2.171875
55,-4.984375,-6.153671875,-7.375,3.25,2.516015625,2.15625
56,-4.828125,-6.22921875,-7.59375,2.90625,2.449140625,2.171875
57,-4.90625,-6.1559375,-7.375,3.046875,2.467890625,2.140625
58,-5.71875,-6.725078125,-8.34375,3.03125,2.499296875,2.203125
59,-5.1875,-6.213046875,-7.96875,3.140625,2.508359375,2.21875
60,-5.46875,-6.43828125,-7.6875,3.09375,2.49125,2.265625
61,-4.359375,-5.5409375,-6.703125,2.796875,2.448046875,2.234375
62,-5.46875,-6.40140625,-7.734375,2.84375,2.49125,2.171875
63,-5.375,-6.154296875,-7.328125,2.875,2.47546875,2.15625
64,-5.234375,-6.170625,-7.25,2.734375,2.416484375,2.140625
65,-4.75,-6.00703125,-7.1875,2.734375,2.444765625,2.109375
66,-5.0,-6.04140625,-7.21875,2.859375,2.47640625,2.234375
67,-4.828125,-5.713828125,-6.625,2.9375,2.4965625,2.234375
68,-5.328125,-6.2965625,-7.5625,2.90625,2.539921875,2.21875
69,-5.3125,-6.207109375,-7.953125,3.046875,2.515859375,2.203125
70,-4.546875,-5.334140625,-6.4375,2.71875,2.44515625,2.21875
71,-5.640625,-6.378125,-7.4375,3.0625,2.560234375,2.265625
72,-5.734375,-6.44140625,-7.578125,2.9375,2.426484375,2.21875
73,-5.28125,-6.185859375,-7.09375,3.0625,2.54375,2.296875
74,-4.546875,-5.30015625,-6.5,2.796875,2.466953125,2.25
75,-4.78125,-5.811640625,-7.234375,2.9375,2.486875,2.125
76,-5.203125,-6.158984375,-7.375,3.015625,2.484375,2.203125
77,-4.84375,-5.93640625,-6.90625,2.90625,2.554609375,2.265625
78,-4.890625,-5.94984375,-7.015625,3.03125,2.5246875,2.203125
79,-4.8125,-5.763046875,-6.859375,2.875,2.4571875,2.25
80,-4.515625,-5.38703125,-6.484375,2.84375,2.41765625,2.1875
81,-5.171875,-6.1553125,-7.15625,3.0,2.560625,2.234375
82,-3.828125,-4.958515625,-6.046875,2.90625,2.51640625,2.234375
83,-4.6875,-5.396328125,-6.671875,2.90625,2.50625,2.203125
84,-4.921875,-5.694453125,-7.375,2.953125,2.57734375,2.28125
85,-4.4375,-5.39453125,-6.40625,3.0,2.554296875,2.234375
86,-5.6875,-6.5084375,-7.765625,2.75,2.44,2.125
87,-4.328125,-5.5125,-6.921875,3.015625,2.50578125,2.125
88,-4.8125,-5.75546875,-7.15625,3.09375,2.580234375,2.1875
89,-5.21875,-5.9753125,-7.21875,3.4375,2.62015625,2.28125
90,-4.890625,-5.48890625,-6.515625,3.15625,2.565546875,2.203125
91,-5.375,-6.17953125,-7.046875,3.03125,2.64328125,2.3125
92,-4.8125,-5.691875,-7.078125,3.03125,2.603828125,2.3125
93,-4.484375,-5.266875,-6.625,3.359375,2.612578125,2.34375
94,-5.0625,-5.751640625,-6.96875,3.125,2.544453125,2.296875
95,-4.625,-5.501640625,-6.953125,3.109375,2.55828125,2.28125
96,-4.765625,-5.6321875,-6.75,3.078125,2.523125,2.234375
97,-5.3125,-6.206796875,-7.203125,3.0625,2.566796875,2.28125
98,-5.140625,-6.17375,-7.65625,2.96875,2.548203125,2.203125
99,-5.296875,-6.169921875,-7.265625,3.046875,2.486015625,2.0625
100,-4.0,-4.9671875,-6.640625,3.0625,2.522890625,2.234375
101,-4.65625,-5.56828125,-6.78125,2.9375,2.4978125,2.1875
102,-4.859375,-5.61921875,-6.796875,2.984375,2.46625,2.140625
103,-4.359375,-5.325,-6.734375,3.03125,2.47828125,2.1875
104,-5.515625,-6.45703125,-7.40625,2.890625,2.40109375,2.078125
105,-4.984375,-5.72796875,-6.953125,2.96875,2.433984375,2.125
106,-4.375,-5.296875,-6.328125,2.609375,2.25421875,2.015625
107,-5.046875,-5.864453125,-6.78125,2.59375,2.352421875,2.109375
108,-4.96875,-5.8275,-6.859375,2.734375,2.30234375,2.09375
109,-5.046875,-5.832265625,-6.8125,2.9375,2.4190625,2.125
110,-5.015625,-5.881015625,-6.765625,2.8125,2.33140625,2.109375
111,-4.640625,-5.434921875,-6.484375,2.921875,2.393671875,2.125
112,-4.25,-5.091484375,-6.265625,3.015625,2.50828125,2.1875
113,-4.921875,-5.812578125,-6.9375,3.0,2.357578125,2.125
114,-4.140625,-5.090234375,-6.171875,2.953125,2.3725,2.140625
115,-3.96875,-4.63984375,-5.765625,2.78125,2.355234375,2.171875
116,-4.59375,-5.5146875,-6.515625,2.8125,2.421953125,2.1875
