Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
1,-30.172425682282935,-36.55784796984327,-41.56803757141091,5.28125,4.218072916666666,2.8125
2,-29.030353508327135,-37.10460497223267,-42.66087863787922,5.796875,4.251927083333333,3.0625
3,-29.675641521573258,-35.75897687032189,-41.101968948480135,5.359375,4.324739583333334,3.34375
4,-31.717050805651,-38.33684997197483,-43.15893590780358,5.21875,4.271979166666667,2.984375
5,-30.225519460477784,-37.559286261156686,-43.00616829258858,5.359375,4.2753125,2.734375
6,-28.57419071940172,-37.13271593749465,-42.642790444182424,5.5625,4.2475,2.703125
7,-29.283097590431332,-35.601611949150744,-40.731123256332566,5.296875,4.229479166666667,2.890625
8,-29.85508893118061,-38.2643913343352,-43.68098106448274,5.265625,4.255364583333333,3.203125
9,-26.92167132480974,-35.139180905220144,-40.90427399397228,5.53125,4.288020833333333,3.15625
10,-28.631363586011844,-35.93864119338149,-42.55347881030261,5.46875,4.257083333333333,2.859375
11,-28.64093972168993,-35.512839808530146,-40.97385654592293,5.25,4.194947916666667,3.1875
12,-27.845610740200918,-35.702334245594415,-41.0326109528327,5.1875,4.21546875,3.25
13,-28.261755122294424,-34.83467991863343,-39.96977292439007,5.4375,4.23046875,3.28125
14,-25.390543962463394,-32.6080805983571,-38.353746971393385,5.234375,4.202864583333334,3.28125
15,-27.743698654163065,-34.81230922426144,-39.45811536093142,5.484375,4.227604166666667,3.140625
16,-28.196621283363335,-35.86668473353542,-41.11049373643422,5.34375,4.23171875,2.9375
17,-26.087571314124837,-34.94272767769883,-40.60694842661579,5.828125,4.229791666666666,3.171875
18,-30.44372503413378,-37.13308544427545,-43.392635123660774,5.265625,4.25109375,2.875
19,-26.457390001895064,-36.943135682226085,-42.8144517702343,5.328125,4.238541666666666,2.859375
20,-26.381253412125325,-34.64280264139086,-40.75745662582197,5.421875,4.21234375,3.0625
21,-28.60491184336256,-35.8252900093811,-41.730714069634814,5.5,4.254375,3.171875
22,-26.41167042794762,-34.46130137280993,-40.21586012380918,5.375,4.275989583333334,3.25
23,-28.103028083053953,-37.20366121308403,-43.556573995756835,5.375,4.289114583333333,3.1875
24,-27.268122036781357,-35.14395730792601,-40.839376988253804,5.203125,4.26390625,3.234375
25,-29.820931784209687,-37.033147360799425,-42.419092069145236,5.421875,4.3272916666666665,3.375
26,-29.709188209875144,-37.16919960522957,-42.80879866130883,5.34375,4.2586458333333335,3.234375
27,-29.034440683653084,-36.85726914211077,-42.45228577028733,5.28125,4.296979166666667,3.015625
