Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
1,-9.578125,-11.010078125,-12.203125,5.390625,4.244765625,3.25
2,-8.96875,-10.762421875,-11.875,5.8125,4.25421875,2.9375
3,-9.25,-10.934453125,-12.140625,5.5625,4.156953125,2.734375
4,-8.734375,-10.6125,-12.125,5.40625,4.080703125,2.6875
5,-8.21875,-9.876171875,-11.03125,5.578125,4.11109375,3.078125
6,-8.375,-10.43328125,-11.859375,5.359375,4.14140625,3.03125
7,-8.859375,-10.783984375,-12.21875,5.375,4.13609375,2.875
8,-8.265625,-10.437578125,-11.828125,5.40625,4.12546875,3.015625
9,-8.390625,-10.473125,-12.125,5.453125,4.06890625,2.71875
10,-7.96875,-10.2640625,-11.859375,5.515625,4.11203125,2.6875
11,-7.828125,-10.116875,-11.90625,6.078125,4.068671875,2.9375
12,-8.46875,-10.5578125,-12.140625,5.515625,4.076015625,2.71875
13,-8.640625,-10.62328125,-12.109375,5.4375,4.01390625,2.734375
14,-7.25,-9.63890625,-11.4375,5.5625,3.95484375,3.015625
15,-8.53125,-10.1484375,-11.5625,5.53125,4.028671875,2.65625
16,-8.125,-9.79078125,-11.703125,5.296875,3.88609375,2.765625
17,-7.53125,-10.00640625,-11.90625,5.15625,3.885078125,2.5625
18,-7.546875,-9.564453125,-11.515625,5.46875,3.9528125,2.59375
19,-7.203125,-9.374765625,-10.96875,5.109375,3.819453125,2.640625
20,-7.546875,-9.7321875,-11.875,5.3125,3.828828125,2.65625
21,-8.0,-9.735859375,-11.671875,5.140625,3.843359375,2.671875
22,-7.6875,-9.46640625,-11.484375,5.296875,3.74546875,2.578125
23,-7.71875,-9.330390625,-10.921875,5.0625,3.6828125,2.484375
24,-7.40625,-9.315078125,-11.28125,5.3125,3.77296875,2.703125
25,-7.375,-9.055078125,-10.796875,5.078125,3.735625,2.546875
26,-6.96875,-9.102734375,-11.015625,5.15625,3.682734375,2.546875
27,-6.921875,-8.593046875,-10.734375,5.09375,3.7959375,2.421875
28,-7.046875,-8.546875,-10.265625,4.90625,3.72359375,2.484375
29,-7.28125,-9.224609375,-11.265625,5.15625,3.60625,2.5625
30,-7.0625,-8.654765625,-10.46875,5.046875,3.58859375,2.453125
31,-7.09375,-8.660390625,-10.84375,4.875,3.53734375,2.34375
32,-6.96875,-8.748671875,-10.53125,5.484375,3.507890625,2.4375
33,-7.453125,-9.042890625,-11.375,4.921875,3.49984375,2.5
34,-7.046875,-8.632421875,-10.40625,5.109375,3.54578125,2.484375
35,-7.375,-9.001796875,-11.1875,4.90625,3.476015625,2.515625
36,-6.71875,-8.45390625,-10.546875,5.546875,3.396875,2.53125
37,-6.9375,-8.66078125,-10.53125,4.8125,3.360546875,2.578125
38,-6.65625,-8.422421875,-10.6875,5.03125,3.36859375,2.40625
39,-7.25,-9.053671875,-11.15625,4.6875,3.393125,2.296875
40,-6.3125,-8.161875,-10.328125,4.921875,3.44140625,2.359375
41,-6.53125,-8.209140625,-10.4375,4.859375,3.327265625,2.171875
42,-6.8125,-8.603203125,-10.484375,5.203125,3.373828125,2.4375
43,-6.875,-8.556484375,-10.359375,4.71875,3.358359375,2.4375
44,-6.9375,-8.85546875,-10.28125,4.6875,3.35234375,2.203125
45,-6.5,-8.0609375,-9.96875,5.375,3.28484375,2.34375
46,-6.28125,-8.056015625,-10.0625,4.328125,3.2228125,2.3125
47,-6.203125,-8.03171875,-10.3125,4.609375,3.14125,2.3125
48,-6.015625,-7.626015625,-10.203125,4.765625,3.076875,2.359375
49,-6.984375,-8.355078125,-9.875,4.296875,3.152734375,2.359375
50,-5.640625,-7.642109375,-9.46875,4.484375,3.188203125,2.390625
51,-6.1875,-7.66671875,-10.328125,4.625,3.06828125,2.140625
52,-6.171875,-7.6446875,-10.0625,4.3125,3.173125,2.203125
53,-6.140625,-7.526484375,-9.484375,4.78125,3.069765625,2.34375
54,-5.9375,-7.501953125,-9.59375,4.53125,3.093203125,2.296875
55,-5.65625,-7.70984375,-9.46875,4.359375,3.08375,2.203125
56,-6.0625,-7.589921875,-9.125,4.390625,3.05625,2.265625
57,-6.359375,-7.6459375,-9.328125,4.15625,3.0825,2.296875
58,-6.1875,-7.629921875,-8.984375,3.96875,3.04203125,2.15625
59,-5.5,-7.130703125,-9.421875,4.46875,3.16125,2.359375
60,-5.234375,-6.6821875,-9.46875,4.1875,3.159921875,2.234375
61,-6.3125,-7.6321875,-9.046875,4.28125,3.131875,2.265625
62,-6.234375,-7.635546875,-9.078125,4.234375,3.073125,2.15625
63,-5.90625,-7.341484375,-8.859375,3.828125,2.87875,2.1875
64,-6.171875,-7.455,-9.25,3.984375,2.985390625,2.109375
65,-5.671875,-7.261875,-8.953125,4.109375,2.976875,2.3125
66,-5.5,-6.938203125,-8.6875,4.109375,2.9415625,2.15625
67,-5.53125,-6.784453125,-9.25,4.34375,2.934140625,2.1875
68,-5.53125,-7.348828125,-9.3125,4.203125,2.886328125,2.1875
69,-6.0625,-7.141953125,-8.59375,4.109375,2.958046875,2.3125
70,-5.171875,-6.718515625,-8.46875,4.125,2.92,2.21875
71,-5.09375,-6.387578125,-8.28125,4.109375,2.875,2.265625
72,-4.78125,-6.09453125,-8.75,4.171875,2.789453125,2.171875
73,-6.0,-7.1284375,-9.265625,4.34375,2.80390625,2.15625
74,-5.4375,-6.74515625,-7.78125,3.734375,2.762578125,2.203125
75,-5.765625,-6.62203125,-8.34375,3.703125,2.788203125,2.21875
76,-5.203125,-6.21421875,-7.765625,4.125,2.749140625,2.109375
77,-5.203125,-6.1878125,-7.53125,3.53125,2.709375,2.1875
78,-5.28125,-6.239140625,-7.953125,3.34375,2.625234375,2.171875
79,-6.328125,-7.4153125,-9.171875,3.765625,2.6746875,2.078125
80,-5.375,-6.546171875,-7.921875,3.6875,2.628359375,2.0625
81,-5.4375,-6.48140625,-8.53125,4.0625,2.604375,2.125
82,-5.34375,-6.30734375,-7.84375,3.546875,2.589921875,2.125
83,-5.796875,-6.786796875,-8.015625,3.609375,2.66140625,2.0625
84,-5.09375,-6.09390625,-8.015625,3.75,2.5775,2.109375
85,-5.578125,-6.493125,-7.78125,3.609375,2.707890625,2.171875
86,-5.375,-6.354375,-8.046875,3.6875,2.6734375,2.046875
87,-5.90625,-6.833046875,-8.1875,3.859375,2.66265625,2.171875
88,-5.71875,-6.643828125,-8.0625,3.6875,2.640546875,2.171875
89,-4.859375,-5.870859375,-6.828125,3.328125,2.60828125,2.125
90,-5.0,-5.8753125,-7.390625,3.65625,2.610703125,2.171875
91,-5.109375,-6.089375,-8.296875,3.5,2.5821875,2.125
92,-5.65625,-6.465859375,-7.453125,3.34375,2.5634375,2.0625
93,-5.046875,-5.926640625,-7.796875,3.328125,2.56359375,2.15625
94,-4.71875,-5.61,-7.046875,3.40625,2.57125,2.140625
95,-4.515625,-5.469296875,-6.828125,3.359375,2.622421875,2.109375
96,-4.9375,-5.775234375,-6.84375,3.109375,2.4840625,2.09375
97,-5.3125,-6.29890625,-7.84375,3.5,2.528828125,2.078125
98,-4.6875,-5.4834375,-6.796875,3.203125,2.515390625,2.125
99,-5.75,-6.5028125,-8.203125,3.359375,2.626015625,2.078125
100,-6.0,-6.731171875,-8.0,3.5,2.659140625,2.140625
101,-5.875,-6.6696875,-7.953125,3.1875,2.63265625,2.1875
102,-5.171875,-5.931640625,-7.671875,3.53125,2.61015625,2.109375
103,-5.109375,-5.901796875,-7.140625,3.28125,2.616875,2.15625
104,-5.984375,-6.853203125,-8.296875,3.40625,2.643125,2.171875
105,-5.25,-6.19390625,-7.78125,3.140625,2.6228125,2.09375
106,-5.046875,-5.904453125,-7.53125,3.34375,2.588671875,2.125
107,-5.15625,-5.88921875,-6.921875,3.265625,2.581953125,2.125
108,-5.4375,-6.270625,-7.375,3.5,2.545390625,2.109375
109,-4.46875,-5.40203125,-6.734375,3.28125,2.523984375,2.046875
110,-4.84375,-5.883828125,-7.0625,3.265625,2.574921875,2.109375
111,-4.96875,-5.662734375,-6.75,3.328125,2.612734375,2.21875
112,-5.734375,-6.454375,-7.328125,3.453125,2.630703125,2.1875
113,-4.953125,-5.680546875,-6.984375,3.640625,2.597578125,2.109375
114,-5.546875,-6.185234375,-7.34375,3.3125,2.636875,2.15625
115,-5.5,-6.289765625,-7.28125,3.359375,2.5734375,2.15625
116,-4.71875,-5.343671875,-6.359375,3.296875,2.59390625,2.125
117,-4.796875,-5.563828125,-6.96875,3.578125,2.56484375,2.171875
118,-5.359375,-6.259921875,-7.90625,3.25,2.501953125,2.15625
119,-5.203125,-5.786953125,-6.796875,2.984375,2.4703125,2.140625
120,-3.859375,-4.748359375,-6.4375,3.25,2.46875,2.078125
121,-5.359375,-6.0315625,-7.09375,3.109375,2.49046875,2.078125
122,-4.90625,-5.6553125,-6.875,3.25,2.550234375,2.15625
123,-5.390625,-5.973984375,-6.78125,3.234375,2.518515625,2.0625
124,-5.140625,-5.801875,-6.796875,3.125,2.5028125,2.078125
125,-4.6875,-5.475234375,-6.21875,3.40625,2.55265625,2.140625
126,-4.75,-5.50828125,-6.640625,3.171875,2.450625,2.0625
127,-4.953125,-5.688515625,-6.734375,3.265625,2.521640625,2.078125
128,-4.484375,-5.0371875,-6.375,2.953125,2.398828125,2.046875
129,-5.046875,-5.640078125,-6.453125,2.875,2.41921875,2.078125
130,-4.875,-5.463984375,-6.5,3.03125,2.43734375,2.125
131,-5.21875,-5.89484375,-6.71875,3.34375,2.45734375,2.09375
132,-5.25,-5.908203125,-7.0,3.046875,2.505234375,2.171875
133,-5.09375,-5.682109375,-6.921875,3.140625,2.474375,2.09375
134,-5.21875,-5.743828125,-7.015625,2.953125,2.475390625,2.171875
135,-5.296875,-5.931953125,-6.84375,2.890625,2.45,2.15625
136,-4.96875,-5.6803125,-7.046875,2.890625,2.443515625,2.109375
137,-5.59375,-6.136796875,-6.84375,2.921875,2.465625,2.078125
138,-4.96875,-5.543046875,-6.625,3.09375,2.482890625,2.140625
139,-5.1875,-5.779453125,-6.875,2.921875,2.399375,2.09375
140,-5.46875,-6.21421875,-7.28125,3.015625,2.501015625,2.125
141,-3.96875,-4.61203125,-5.671875,3.140625,2.463203125,2.046875
142,-5.359375,-5.81328125,-6.53125,3.140625,2.470234375,2.15625
143,-4.890625,-5.396953125,-5.96875,3.0,2.552265625,2.15625
144,-5.109375,-5.652109375,-6.671875,3.03125,2.451328125,2.125
145,-4.875,-5.47515625,-6.375,2.96875,2.5184375,2.234375
146,-5.359375,-5.92921875,-6.859375,2.9375,2.456796875,2.1875
147,-5.203125,-5.933203125,-6.65625,2.96875,2.45546875,2.171875
148,-4.640625,-5.216875,-6.375,2.921875,2.4778125,2.109375
149,-4.703125,-5.301796875,-6.125,3.015625,2.537109375,2.171875
150,-5.109375,-5.863515625,-7.125,3.15625,2.522578125,2.109375
151,-4.9375,-5.548125,-6.703125,2.984375,2.47546875,2.125
152,-5.453125,-6.05265625,-6.609375,3.0,2.518828125,2.203125
153,-5.34375,-5.994375,-7.09375,2.875,2.387890625,2.09375
154,-5.46875,-6.22953125,-7.046875,2.953125,2.37609375,2.078125
155,-4.65625,-5.438515625,-6.21875,2.796875,2.398515625,2.125
156,-4.0,-4.803828125,-5.578125,2.796875,2.381796875,2.109375
157,-5.34375,-5.999765625,-7.546875,3.359375,2.455078125,2.140625
158,-5.015625,-5.57953125,-6.46875,2.765625,2.396796875,2.09375
159,-4.390625,-4.913125,-6.15625,3.0,2.491015625,2.078125
160,-5.078125,-5.6990625,-6.53125,2.859375,2.4753125,2.15625
161,-5.0625,-5.838671875,-6.75,2.828125,2.46140625,2.125
162,-4.703125,-5.42703125,-6.171875,3.0,2.482265625,2.09375
163,-4.390625,-5.124140625,-5.859375,2.984375,2.42796875,2.09375
164,-5.890625,-6.586640625,-7.484375,3.21875,2.499921875,2.203125
165,-4.65625,-5.294296875,-6.0625,2.8125,2.450703125,2.09375
166,-4.875,-5.576953125,-6.75,2.890625,2.44453125,2.125
167,-5.359375,-5.886796875,-6.71875,2.921875,2.47609375,2.140625
168,-4.8125,-5.455390625,-6.359375,2.921875,2.4215625,2.109375
169,-5.15625,-5.6828125,-6.328125,2.9375,2.494453125,2.109375
170,-5.1875,-5.735078125,-6.578125,3.140625,2.540625,2.171875
171,-4.828125,-5.510703125,-6.578125,3.09375,2.5084375,2.171875
172,-4.8125,-5.480625,-6.359375,2.96875,2.5384375,2.265625
173,-5.125,-5.701640625,-6.359375,3.046875,2.567890625,2.234375
174,-5.125,-5.771640625,-7.390625,2.953125,2.47078125,2.15625
175,-4.9375,-5.514765625,-6.359375,2.90625,2.4915625,2.109375
176,-4.734375,-5.511171875,-6.65625,3.046875,2.48375,2.109375
177,-4.9375,-5.594453125,-6.515625,3.125,2.52171875,2.1875
178,-5.375,-5.981953125,-6.734375,3.109375,2.5578125,2.234375
179,-5.328125,-6.05921875,-6.765625,3.15625,2.61921875,2.15625
180,-5.125,-5.74453125,-6.640625,3.125,2.575078125,2.21875
181,-6.0,-6.44875,-7.140625,3.015625,2.557734375,2.15625
182,-5.203125,-5.85296875,-6.828125,3.328125,2.5875,2.21875
183,-4.71875,-5.536953125,-6.484375,3.25,2.5546875,2.25
184,-5.125,-5.70625,-6.5,2.953125,2.518515625,2.1875
185,-5.6875,-6.18359375,-7.234375,3.171875,2.497265625,2.1875
186,-5.03125,-5.79390625,-6.859375,3.28125,2.560390625,2.203125
187,-4.5,-5.245546875,-6.265625,2.953125,2.46171875,2.09375
